"","step","mining module","ore storage","processing module","refined storage","printing robot","manufacturing module","equipment storage","assembly robot","habitation module","life-support module"
"1",1,1,1,1,1,1,1,1,1,1,1
"2",2,1,1,1,1,1,1,1,10,1,1
"3",3,1,1,1,1,1,1,1,10,1,1
"4",3,1,1,1,1,1,1,1,10,1,1
"5",5,1,1,1,7,1,1,1,10,1,1
"6",6,1,1,1,7,1,1,1,10,1,1
"7",3,1,1,1,7,1,1,1,10,1,1
"8",8,1,1,1,7,1,1,1,11,1,1
"9",9,5,1,1,7,1,1,1,11,1,1
"10",10,5,5,1,7,1,1,1,11,1,1
"11",11,5,5,1,7,1,1,1,11,1,1
"12",12,5,5,1,7,1,1,10,11,1,1
"13",13,5,5,1,7,1,1,10,11,14,1
"14",14,5,5,1,7,1,1,10,11,12,1
"15",15,5,5,9,7,1,1,10,11,12,1
"16",6,5,5,9,7,1,1,10,11,12,1
"17",17,5,5,8,7,1,1,10,11,12,1
"18",18,5,5,8,9,1,1,10,11,12,1
"19",19,5,8,8,9,1,1,10,11,12,1
"20",20,5,8,6,9,1,1,10,11,12,1
"21",21,5,8,6,9,1,1,10,11,13,1
"22",22,5,8,6,9,1,1,10,13,13,1
"23",5,5,8,6,9,1,1,10,13,13,1
"24",24,5,8,6,9,1,1,10,13,14,1
"25",25,5,8,6,9,1,1,10,13,12,1
"26",26,5,7,6,9,1,1,10,13,12,1
"27",27,5,7,6,9,9,1,10,13,12,1
"28",28,5,7,6,9,9,1,10,13,12,1
"29",29,5,7,12,9,9,1,10,13,12,1
"30",30,5,7,12,9,9,13,10,13,12,1
"31",31,5,7,12,8,9,13,10,13,12,1
"32",32,5,7,12,8,9,13,10,13,12,17
"33",33,5,7,12,8,9,13,10,13,16,17
"34",34,6,7,12,8,9,13,10,13,16,17
"35",35,6,7,12,11,9,13,10,13,16,17
"36",36,6,7,8,11,9,13,10,13,16,17
"37",37,6,7,8,11,11,13,10,13,16,17
"38",38,6,7,8,11,11,13,10,13,18,17
"39",39,6,7,11,11,11,13,10,13,18,17
"40",40,6,7,11,11,11,13,10,13,18,17
"41",41,6,7,11,11,11,13,12,13,18,17
"42",42,6,7,7,11,11,13,12,13,18,17
"43",43,6,7,7,11,11,13,12,13,18,21
"44",44,6,7,7,11,17,13,12,13,18,21
"45",45,6,7,10,11,17,13,12,13,18,21
"46",46,8,7,10,11,17,13,12,13,18,21
"47",47,8,7,9,11,17,13,12,13,18,21
"48",48,8,7,9,11,17,19,12,13,18,21
"49",49,8,7,9,11,17,19,12,13,18,21
"50",50,8,7,9,11,11,19,12,13,18,21
"51",51,8,7,16,11,11,19,12,13,18,21
"52",52,8,7,16,11,11,13,12,13,18,21
"53",53,8,7,16,11,11,21,12,13,18,21
"54",54,8,7,16,11,11,11,12,13,18,21
"55",55,8,7,16,11,12,11,12,13,18,21
"56",56,8,7,16,11,12,11,12,13,18,21
"57",57,8,7,16,11,12,11,12,13,18,26
"58",58,8,7,16,11,12,11,19,13,18,26
"59",59,8,7,16,11,12,11,19,13,24,26
"60",60,8,7,16,11,12,11,19,13,19,26
"61",61,8,7,16,11,18,11,19,13,19,26
"62",62,8,7,16,11,18,11,19,13,26,26
"63",63,8,7,19,11,18,11,19,13,26,26
"64",64,8,7,18,11,18,11,19,13,26,26
"65",65,8,7,18,11,18,12,19,13,26,26
"66",66,8,13,18,11,18,12,19,13,26,26
"67",67,8,13,18,11,18,22,19,13,26,26
"68",68,8,13,18,11,20,22,19,13,26,26
"69",69,8,13,18,11,20,22,19,13,26,26
"70",70,8,13,18,11,20,22,19,13,26,17
"71",71,8,16,18,11,20,22,19,13,26,17
"72",7,8,16,18,11,20,22,19,13,26,17
"73",73,8,16,18,14,20,22,19,13,26,17
"74",74,8,16,18,14,13,22,19,13,26,17
"75",75,15,16,18,14,13,22,19,13,26,17
"76",76,13,16,18,14,13,22,19,13,26,17
"77",77,13,16,18,14,13,22,18,13,26,17
"78",78,13,20,18,14,13,22,18,13,26,17
"79",79,13,20,18,17,13,22,18,13,26,17
"80",80,10,20,18,17,13,22,18,13,26,17
"81",81,10,20,18,17,13,22,16,13,26,17
"82",82,10,20,18,17,13,22,16,19,26,17
"83",83,10,20,18,17,13,22,16,19,26,17
"84",84,10,20,18,17,13,22,27,19,26,17
"85",85,10,20,18,17,13,22,27,19,26,17
"86",86,10,20,18,17,17,22,27,19,26,17
"87",87,10,18,18,17,17,22,27,19,26,17
"88",88,10,18,18,22,17,22,27,19,26,17
"89",89,10,18,18,21,17,22,27,19,26,17
"90",90,10,18,18,21,17,22,29,19,26,17
"91",91,10,18,18,21,17,22,29,16,26,17
"92",92,10,18,18,21,17,22,25,16,26,17
"93",93,10,18,26,21,17,22,25,16,26,17
"94",94,10,18,26,21,17,22,25,32,26,17
"95",95,10,18,26,21,17,22,25,18,26,17
"96",96,10,18,26,21,30,22,25,18,26,17
"97",97,25,18,26,21,30,22,25,18,26,17
"98",98,25,18,26,21,30,27,25,18,26,17
"99",99,25,18,26,12,30,27,25,18,26,17
"100",100,25,15,26,12,30,27,25,18,26,17
"101",101,25,15,26,12,30,27,25,18,26,36
"102",102,25,15,28,12,30,27,25,18,26,36
"103",103,25,15,28,12,30,27,33,18,26,36
"104",104,25,10,28,12,30,27,33,18,26,36
"105",105,25,10,13,12,30,27,33,18,26,36
"106",106,25,10,13,12,30,27,33,36,26,36
"107",107,25,29,13,12,30,27,33,36,26,36
"108",108,25,29,13,12,30,27,33,36,20,36
"109",109,25,29,13,12,30,27,23,36,20,36
"110",110,25,29,13,12,30,27,20,36,20,36
"111",111,22,29,13,12,30,27,20,36,20,36
"112",112,22,29,13,12,30,27,20,36,30,36
"113",113,22,29,13,12,35,27,20,36,30,36
"114",114,22,29,13,12,35,27,20,36,18,36
"115",115,22,21,13,12,35,27,20,36,18,36
"116",116,9,21,13,12,35,27,20,36,18,36
"117",117,9,21,13,12,35,27,20,36,29,36
"118",118,9,21,13,12,35,27,20,36,29,41
"119",119,9,21,13,12,35,27,20,36,29,41
"120",120,9,21,30,12,35,27,20,36,29,41
"121",121,9,21,30,12,22,27,20,36,29,41
"122",122,9,21,30,22,22,27,20,36,29,41
"123",123,9,21,30,22,22,27,20,36,29,41
"124",124,27,21,30,22,22,27,20,36,29,41
"125",125,27,21,30,22,22,33,20,36,29,41
"126",126,27,21,30,22,27,33,20,36,29,41
"127",127,33,21,30,22,27,33,20,36,29,41
"128",128,22,21,30,22,27,33,20,36,29,41
"129",129,22,21,30,22,27,33,20,36,24,41
"130",130,22,21,30,22,27,33,38,36,24,41
"131",131,22,21,30,22,27,33,38,41,24,41
"132",132,22,21,30,15,27,33,38,41,24,41
"133",133,22,21,30,15,27,33,18,41,24,41
"134",134,22,21,30,15,27,37,18,41,24,41
"135",135,22,21,30,15,27,37,30,41,24,41
"136",136,22,21,30,15,22,37,30,41,24,41
"137",137,22,28,30,15,22,37,30,41,24,41
"138",138,22,28,31,15,22,37,30,41,24,41
"139",139,22,28,38,15,22,37,30,41,24,41
"140",140,22,28,38,15,22,37,30,41,21,41
"141",141,22,28,38,29,22,37,30,41,21,41
"142",142,22,14,38,29,22,37,30,41,21,41
"143",143,22,36,38,29,22,37,30,41,21,41
"144",144,22,36,28,29,22,37,30,41,21,41
"145",145,22,36,28,29,22,37,30,22,21,41
"146",146,22,36,28,29,17,37,30,22,21,41
"147",147,22,36,28,29,17,37,30,22,29,41
"148",148,22,32,28,29,17,37,30,22,29,41
"149",149,22,32,28,29,17,17,30,22,29,41
"150",150,15,32,28,29,17,17,30,22,29,41
"151",151,15,32,28,29,17,39,30,22,29,41
"152",152,15,32,31,29,17,39,30,22,29,41
"153",153,15,32,31,29,17,23,30,22,29,41
"154",154,15,32,31,29,17,23,28,22,29,41
"155",155,15,32,31,28,17,23,28,22,29,41
"156",156,15,32,31,28,17,23,28,39,29,41
"157",157,15,32,31,28,17,23,28,42,29,41
"158",22,15,32,31,28,17,23,28,42,29,41
"159",159,15,32,31,28,45,23,28,42,29,41
"160",160,15,32,31,28,26,23,28,42,29,41
"161",161,15,32,31,28,26,23,28,42,42,41
"162",162,15,32,31,28,26,31,28,42,42,41
"163",163,15,32,31,28,26,31,42,42,42,41
"164",164,16,32,31,28,26,31,42,42,42,41
"165",165,16,32,31,28,26,31,38,42,42,41
"166",166,20,32,31,28,26,31,38,42,42,41
"167",167,20,32,23,28,26,31,38,42,42,41
